date,season,team,opponent,venue,elo_before,elo_after
1996-03-03,1995-96,Aston Villa,Liverpool,A,1573.142482590342,1565.6749306580534
1996-03-06,1995-96,Aston Villa,Sheffield Weds,H,1565.6749306580534,1568.7235374584372
1996-03-09,1995-96,Aston Villa,QPR,H,1568.7235374584372,1573.2801686674313
1996-03-16,1995-96,Aston Villa,Sheffield Weds,A,1573.2801686674313,1561.368436787514
1996-03-19,1995-96,Aston Villa,Middlesbrough,H,1561.368436787514,1559.341793865621
1996-04-06,1995-96,Aston Villa,Chelsea,A,1559.341793865621,1567.743721627633
1996-04-08,1995-96,Aston Villa,Southampton,H,1567.743721627633,1574.0367079180382
1996-04-14,1995-96,Aston Villa,Newcastle,A,1574.0367079180382,1570.3672804533817
1996-04-17,1995-96,Aston Villa,West Ham,H,1570.3672804533817,1568.8845989837507
1996-04-27,1995-96,Aston Villa,Man City,H,1568.8845989837507,1556.9841282270309
